kyla;lat;lon
Aakre;58.09;26.19
Anseküla;58.09;22.23
Aruküla;58.68;26.57
Assikvere;58.72;26.96
Atla;58.29;21.9
Eisma;59.56;26.29
Helme-Roobe;57.96;25.95
Himmaste;58.09;27.07
Ibaste;58.23;27.08
Igaküla;58.6;23.11
Kaarlimõisa;58.22;25.89
Kaberneeme;59.15;25.27
Kalaküla;58.89;23.56
Kalbuse;58.28;25.91
Kalli;57.6;26.4
Karilepa;59.25;24.14
Karula;57.76;26.305
Kaunispe;58.03;22.09
Kelnasi;59.64;25.009
Kiraste;58.46;23.98
Kiuma;58.03;26.96
Kobra;58.68;24.98
Kohtla;59.35;27.21
Kolo;57.43;27.41
Koruste;58.13;26.18
Kukka;58.98;22.85
Kutsala;59.48;26.61
Kõrkküla;59.43;26.92
Kõrveküla;59.23;25.65
Käsukonna;58.79;25.75
Kütametsa;59.03;26.86
Lammiku;58.47;26.6
Leesi;59.62;25.504
Lemsi;58.13;24
Lõetsa;58.64;23.32
Lõpolja;57.88;27.79
Maetsma;58.99;26.89
Mammaste;58.07;27.04
Mõisaküla;58.66;25.74
Mäeküla;58.78;25.47
Männiküla;59.51;26.704
Möldri;58.17;22.14
Neeme;59.52;25.15
Neeruti;58.11;26.56
Noodasküla;57.8;27.15
Näduvere;58.85;26.7
Nüpli;58.03;26.48
Paimre;58.61;24.09
Pala;58.67;27.01
Palo;57.73;27.48
Peerni;58.25;24.13
Pikru;58.19;25.87
Podmotsa;58;27.66
Prangli;59.62;24.99
Pulli;57.61;27.20
Pärispea;59.65;25.69
Raadama;58.12;27.42
Raassilla;58.24;25.72
Rabavere;58.58;23.99
Roogsoo;57.71;26.85
Sabelina;57.48;27.43
Salutaguse;59.16;24.81
Saru;57.6;26.53
Sassi;59.26;24.37
Serga;57.75;27.47
Silmsi;59.13;25.31
Sootaguse;59.02;26.49
Sudiste;58.1;25.64
Sultsi;58.24;25.59
Säre;57.82;26.62
Sääritsa;58.74;27.07
Süvalõpe;58.69;26.63
Tagamaa;59.31;26.95
Tammispää;58.92;27
Tamsa;58.21;26.48
Terikeste;58.3;27.1
Tudulinna-Kesavälja;59.05;27.04
Tärkma;58.69;22.604
Undva;58.49;21.97
Urvaste;58.87;24.08
Uuri;57.65;27.15
Vaartsi;57.85;27.6
Vaila;59.4;24.4
Vakiste;58.09;25.64
Vanamaa;59.05;24.01
Vana-Sõtke;59.37;27.73
Verhulitsa;57.93;27.65
Viinistu;59.64;25.75
Võhmaste;58.07;25.65
